wals code,name,latitude,longitude,genus,family,subfamily,iso codes
bac,Bachamal,-13.1666666667,130.166666667,Anson Bay,Australian,Daly,wdj
bad,Bade,12.8333333333,10.5,West Chadic,Afro-Asiatic,Chadic,bde
bae,Baré,1.0,-67.0,Arawakan,Arawakan,,bae
baf,Bafut,6.25,9.91666666667,Bantoid,Niger-Congo,Benue-Congo,bfd
bag,Bagirmi,11.6666666667,16.0,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,bmi
bah,Bahuana,-0.5,-62.5,Arawakan,Arawakan,,
bai,Bai,26.0,100.0,Bai,Sino-Tibetan,Tibeto-Burman,bca
baj,Bajau (Sama),-4.33333333333,123.0,Sama-Bajaw,Austronesian,,bdl
bak,Baka (in Cameroon),2.58333333333,13.5833333333,Ubangi,Niger-Congo,Adamawa-Ubangi,bkc
bal,Balinese,-8.33333333333,115.25,Bali-Sasak,Austronesian,,ban
bam,Bambara,12.5,-7.5,Western Mande,Niger-Congo,Mande,bam
ban,Bana,10.4166666667,13.5833333333,Biu-Mandara,Afro-Asiatic,Chadic,bcw
bao,Bao'an,35.5833333333,102.0,Mongolic,Altaic,,peh
baq,Baure,-13.0833333333,-64.1666666667,Arawakan,Arawakan,,brg
bar,Bari,5.0,31.6666666667,Nilotic,Nilo-Saharan,Eastern Sudanic,bfa
bas,Basaá,3.91666666667,10.5,Bantoid,Niger-Congo,Benue-Congo,bas
bat,Batak,10.25,119.083333333,Meso-Philippine,Austronesian,,bya
bau,Bau,-5.25,145.616666667,Madang,Trans-New Guinea,,bbd
baw,Bawm,22.5,92.25,Kuki-Chin,Sino-Tibetan,Tibeto-Burman,bgr
bbf,Bobo Fing,11.8333333333,-4.41666666667,Western Mande,Niger-Congo,Mande,bwq bbo
bbl,Babole,1.08333333333,17.25,Bantoid,Niger-Congo,Benue-Congo,bvx
bbm,Bambam,-3.08333333333,119.083333333,Sulawesi,Austronesian,,ptu
bbu,Barambu,3.5,27.0,Ubangi,Niger-Congo,Adamawa-Ubangi,brm
bbw,Bininj Gun-Wok,-12.5,133.75,Gunwinygic,Australian,Gunwinyguan,gup
bca,Bandjalang (Casino),-28.9166666667,153.0,Pama-Nyungan,Australian,,bdy
bch,Berber (Chaouia),35.0,7.0,Berber,Afro-Asiatic,,shy
bco,Bella Coola,52.5,-126.666666667,Bella Coola,Salishan,,blc
bdc,Berbice Dutch Creole,5.33333333333,-58.0,Creoles and Pidgins,other,,brc
bdg,Badaga,11.6666666667,76.75,Southern Dravidian,Dravidian,,bfq
bdk,Budukh,41.1666666667,48.4166666667,Lezgic,Nakh-Daghestanian,Daghestanian,bdk
bdm,Badimaya,-27.6666666667,118.0,Pama-Nyungan,Australian,,bia
bdu,Budu,2.0,28.0,Bantoid,Niger-Congo,Benue-Congo,buu
bdw,Baham,-3.16666666667,132.666666667,West Bomberai,West Bomberai,,bdw
beb,Benabena,-6.16666666667,145.5,Eastern Highlands,Trans-New Guinea,,bef
bec,Bengali (Chittagong),22.3333333333,91.8333333333,Indic,Indo-European,,ctg
bee,Beembe,-3.91666666667,14.0833333333,Bantoid,Niger-Congo,Benue-Congo,beq
beg,Begak-Ida'an,5.25,118.833333333,Northwest Malayo-Polynesian,Austronesian,,dbj
bej,Beja,18.0,36.0,Beja,Afro-Asiatic,Cushitic,bej
bel,Belhare,26.9666666667,87.3,Bodic,Sino-Tibetan,Tibeto-Burman,byw
bem,Bemba,-10.0,28.25,Bantoid,Niger-Congo,Benue-Congo,bmy
ben,Bengali,24.0,90.0,Indic,Indo-European,,ben
beo,Beothuk,48.0,-57.0,Beothuk,Beothuk,,bue
ber,Berta,10.3333333333,34.6666666667,Berta,Nilo-Saharan,,wti
bet,Bété,6.25,-6.25,Kru,Niger-Congo,,bev
bez,Bezhta,42.0833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian,kap
bfd,Biafada,11.4166666667,-15.1666666667,Northern Atlantic,Niger-Congo,Atlantic,bif
bfg,Berber (Figuig),32.5,-1.5,Berber,Afro-Asiatic,,
bfi,Bafia,5.0,11.1666666667,Bantoid,Niger-Congo,Benue-Congo,ksf
bga,Benga,1.16666666667,9.41666666667,Bantoid,Niger-Congo,Benue-Congo,bng
bgg,Banggai,-1.41666666667,123.166666667,Sulawesi,Austronesian,,bgz
bgi,Bagri,29.5833333333,74.3333333333,Indic,Indo-European,,bgq
bgl,Buglere,8.5,-81.25,Guaymi,Chibchan,,sab
bgm,Bangime,14.9166666667,-3.83333333333,Bangime,Bangime,,dba
bgn,Bugun,27.5,92.5833333333,Western Arunachal,Sino-Tibetan,Tibeto-Burman,
bgo,Bongo,7.5,28.5,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,bot
bgr,Bagiro,4.33333333333,20.5833333333,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,fuu
bgs,Baga Sitemu,10.5,-14.5,Southern Atlantic,Niger-Congo,Atlantic,bsp
bgv,Bagvalal,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian,kva
bgz,Banggi,7.25,117.166666667,Meso-Philippine,Austronesian,,bdg
bhi,Bhili,22.0,73.0,Indic,Indo-European,,bhb
bhn,Bahinemo,-4.58333333333,142.833333333,Sepik Hill,Sepik,,bjh
bho,Bhojpuri,26.0,84.0,Indic,Indo-European,,bho
bhu,Bhumij,21.3333333333,86.5,Munda,Austro-Asiatic,,unr
bia,Bira,1.0,28.75,Bantoid,Niger-Congo,Benue-Congo,brf bip
bid,Bidiya,11.9166666667,18.75,East Chadic,Afro-Asiatic,Chadic,bid
big,Binga,8.0,25.0,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,yul
bii,Biri,-20.5,146.5,Pama-Nyungan,Australian,,bzr
