auth, geo, gen, feat
7.658805, 0.134691, 0.228854, 0.366667
7.659021, 0.150307, 0.228854, 0.380000
7.659021, 0.257596, 0.228854, 0.540000
7.659021, 0.131514, 0.228854, 0.600000
7.659021, 0.116996, 0.228854, 0.480000
5.040725, 0.003661, 0.000000, 0.280000
8.110921, 0.226592, 0.473182, 0.460000
7.481927, 0.156937, 0.266037, 0.400000
7.481948, 0.144602, 0.330589, 0.520000
7.560493, 0.181064, 0.140283, 0.500000
6.618880, 0.032865, 0.020127, 0.320000
7.092222, 0.139957, 0.143478, 0.460000
7.092222, 0.147482, 0.125884, 0.460000
7.481948, 0.141977, 0.330589, 0.440000
6.618880, 0.050365, 0.020127, 0.340000
7.092222, 0.430577, 0.143478, 0.400000
7.960407, 0.228595, 0.434008, 0.400000
7.183610, 0.040343, 0.087949, 0.400000
7.092222, 0.148538, 0.125884, 0.400000
8.110921, 0.179785, 0.434008, 0.420000
7.092222, 0.137841, 0.143478, 0.320000
7.092222, 0.080396, 0.143478, 0.320000
7.130515, 0.025765, 0.143478, 0.400000
7.870936, 0.291224, 0.228854, 0.460000
7.960407, 0.644666, 0.397314, 0.400000
7.092222, 0.272321, 0.143478, 0.360000
7.092222, 0.139000, 0.143478, 0.360000
6.618880, 0.050255, 0.020127, 0.400000
7.092222, 0.121237, 0.143478, 0.400000
7.092222, 0.080071, 0.143478, 0.300000
7.560493, 0.193427, 0.140283, 0.440000
7.092222, 0.157005, 0.125884, 0.360000
7.870936, 0.331124, 0.397314, 0.340000
8.110921, 0.178182, 0.397314, 0.340000
7.092222, 0.130903, 0.143478, 0.380000
7.960407, 0.227795, 0.457555, 0.400000
6.618880, 0.028675, 0.020127, 0.420000
7.092222, 0.155067, 0.125884, 0.400000
7.336960, 0.097976, 0.205365, 0.500000
7.183610, 0.043826, 0.087949, 0.400000
8.110921, 0.220274, 0.434008, 0.440000
7.659037, 0.111138, 0.228854, 0.420000
7.092222, 0.610065, 0.143478, 0.400000
6.029488, 0.014687, 0.020127, 0.400000
7.658987, 0.338135, 0.337032, 0.400000
7.870936, 0.285873, 0.397314, 0.360000
7.092222, 0.357914, 0.143478, 0.400000
6.618880, 0.058297, 0.020127, 0.360000
7.092222, 0.171218, 0.143478, 0.400000
7.092222, 0.111074, 0.099955, 0.460000
7.130515, 0.025511, 0.125884, 0.420000
7.870936, 0.249495, 0.397314, 0.400000
8.110921, 0.189781, 0.457555, 0.440000
6.677996, 0.014346, 0.060884, 0.320000
7.183610, 0.048211, 0.087949, 0.440000
7.092222, 0.144402, 0.125884, 0.320000
7.183610, 0.048777, 0.087949, 0.480000
7.092222, 0.375847, 0.143478, 0.380000
6.782807, 0.018561, 0.028809, 0.240000
7.183610, 0.017234, 0.028809, 0.360000
7.336960, 0.093566, 0.221359, 0.480000
7.183610, 0.025270, 0.087949, 0.460000
7.870893, 0.282863, 0.434008, 0.460000
6.898167, 0.071324, 0.143478, 0.320000
7.092222, 0.065948, 0.143478, 0.300000
7.092222, 0.135046, 0.143478, 0.420000
8.110921, 0.225458, 0.473182, 0.460000
7.092222, 0.151443, 0.125884, 0.440000
7.092222, 0.156155, 0.143478, 0.280000
7.720532, 0.180152, 0.397314, 0.440000
7.560493, 0.197208, 0.140283, 0.440000
6.618880, 0.026338, 0.020127, 0.360000
7.092222, 0.134124, 0.143478, 0.400000
7.183610, 0.048476, 0.087949, 0.540000
5.040725, 0.007263, 0.000000, 0.380000
8.110921, 0.222975, 0.473182, 0.400000
7.481927, 0.153976, 0.266037, 0.480000
7.481948, 0.141274, 0.330589, 0.560000
7.560493, 0.178093, 0.140283, 0.526667
6.618880, 0.036362, 0.020127, 0.346667
7.092222, 0.143418, 0.143478, 0.520000
7.092222, 0.150933, 0.125884, 0.480000
7.481948, 0.138668, 0.330589, 0.500000
6.618880, 0.053885, 0.020127, 0.220000
7.092222, 0.434111, 0.143478, 0.280000
7.960407, 0.225229, 0.434008, 0.440000
7.183610, 0.037336, 0.087949, 0.493333
7.092222, 0.151984, 0.125884, 0.420000
8.110921, 0.176127, 0.434008, 0.340000
7.092222, 0.141343, 0.143478, 0.360000
7.092222, 0.081570, 0.143478, 0.393333
7.130515, 0.022186, 0.143478, 0.366667
7.870936, 0.287988, 0.228854, 0.300000
7.960407, 0.642069, 0.397314, 0.460000
7.092222, 0.275192, 0.143478, 0.300000
7.092222, 0.142030, 0.143478, 0.220000
6.618880, 0.053745, 0.020127, 0.340000
7.092222, 0.124835, 0.143478, 0.540000
7.092222, 0.076934, 0.143478, 0.160000
7.560493, 0.190476, 0.140283, 0.360000
7.092222, 0.160416, 0.125884, 0.320000
7.870936, 0.327648, 0.397314, 0.280000
8.110921, 0.174534, 0.397314, 0.286667
7.092222, 0.134450, 0.143478, 0.400000
7.960407, 0.224202, 0.457555, 0.280000
6.618880, 0.032252, 0.020127, 0.320000
7.092222, 0.158350, 0.125884, 0.340000
7.336960, 0.094644, 0.205365, 0.500000
7.183610, 0.044690, 0.087949, 0.440000
8.110921, 0.216649, 0.434008, 0.400000
7.659037, 0.108569, 0.228854, 0.320000
7.092222, 0.613716, 0.143478, 0.220000
6.029488, 0.018098, 0.020127, 0.320000
7.658987, 0.334701, 0.337032, 0.393333
7.870936, 0.282451, 0.397314, 0.306667
7.092222, 0.360303, 0.143478, 0.280000
6.618880, 0.061909, 0.020127, 0.200000
7.092222, 0.174878, 0.143478, 0.380000
7.092222, 0.114712, 0.099955, 0.520000
7.130515, 0.022008, 0.125884, 0.340000
7.870936, 0.245994, 0.397314, 0.300000
8.110921, 0.186122, 0.457555, 0.460000
6.677996, 0.010909, 0.060884, 0.140000
7.183610, 0.049528, 0.087949, 0.413333
7.092222, 0.147669, 0.125884, 0.140000
7.183610, 0.045536, 0.087949, 0.440000
7.092222, 0.379495, 0.143478, 0.320000
6.782807, 0.017342, 0.028809, 0.200000
7.183610, 0.018099, 0.028809, 0.333333
7.336960, 0.090127, 0.221359, 0.486667
7.183610, 0.024095, 0.087949, 0.540000
7.870893, 0.279212, 0.434008, 0.440000
6.898167, 0.074945, 0.143478, 0.300000
7.092222, 0.063938, 0.143478, 0.220000
7.092222, 0.138558, 0.143478, 0.426667
8.110921, 0.221895, 0.473182, 0.426667
7.092222, 0.154866, 0.125884, 0.406667
7.092222, 0.159606, 0.143478, 0.100000
7.720532, 0.176981, 0.397314, 0.320000
7.560493, 0.194225, 0.140283, 0.300000
6.618880, 0.029895, 0.020127, 0.360000
7.092222, 0.137643, 0.143478, 0.440000
7.183610, 0.047964, 0.087949, 0.426667
3.770061, 0.003615, 0.000000, 0.300000
8.110785, 0.154070, 0.434008, 0.560000
8.110807, 0.129088, 0.473182, 0.580000
8.110705, 0.152994, 0.337032, 0.640000
8.110921, 0.259080, 0.473182, 0.440000
8.110921, 0.365014, 0.473182, 0.620000
8.110921, 0.372323, 0.473182, 0.520000
8.110807, 0.131556, 0.473182, 0.520000
8.110921, 0.276583, 0.473182, 0.360000
8.110921, 0.639484, 0.473182, 0.380000
8.110018, 0.117577, 0.434008, 0.520000
8.110921, 0.198303, 0.473182, 0.500000
8.110921, 0.373307, 0.473182, 0.540000
5.009136, 0.051773, 0.266037, 0.280000
8.110921, 0.363474, 0.473182, 0.440000
8.110921, 0.249741, 0.473182, 0.460000
8.110915, 0.202579, 0.473182, 0.560000
8.110154, 0.162691, 0.228854, 0.480000
8.110018, 0.506675, 0.397314, 0.380000
8.110921, 0.479473, 0.473182, 0.460000
8.110921, 0.339232, 0.473182, 0.400000
8.110921, 0.276290, 0.473182, 0.360000
8.110921, 0.347783, 0.473182, 0.560000
8.110921, 0.154476, 0.473182, 0.460000
8.110705, 0.155872, 0.337032, 0.440000
8.110921, 0.381126, 0.473182, 0.480000
8.110154, 0.156903, 0.397314, 0.440000
5.009136, 0.066550, 0.218454, 0.320000
8.110921, 0.357063, 0.473182, 0.520000
8.110018, 0.073761, 0.457555, 0.340000
8.110921, 0.255198, 0.473182, 0.460000
8.110921, 0.376881, 0.473182, 0.380000
8.110868, 0.152708, 0.473182, 0.620000
8.110921, 0.244777, 0.473182, 0.520000
5.009136, 0.007048, 0.266037, 0.280000
8.110662, 0.149419, 0.228854, 0.380000
8.110921, 0.835655, 0.473182, 0.400000
8.110921, 0.240813, 0.473182, 0.400000
8.110612, 0.168732, 0.337032, 0.400000
8.110154, 0.134061, 0.397314, 0.380000
8.110921, 0.499852, 0.473182, 0.380000
8.110921, 0.284884, 0.473182, 0.360000
8.110921, 0.395953, 0.473182, 0.520000
8.110921, 0.337603, 0.457555, 0.560000
8.110915, 0.203641, 0.473182, 0.480000
8.110154, 0.101723, 0.397314, 0.400000
5.009136, 0.043509, 0.296573, 0.440000
8.110921, 0.212415, 0.434008, 0.400000
8.110921, 0.252350, 0.473182, 0.540000
8.110921, 0.366148, 0.473182, 0.360000
8.110921, 0.188796, 0.473182, 0.600000
8.110921, 0.597143, 0.473182, 0.460000
8.110921, 0.222109, 0.473182, 0.420000
8.110921, 0.232062, 0.473182, 0.440000
8.110868, 0.150346, 0.473182, 0.620000
8.110921, 0.221757, 0.473182, 0.580000
8.110111, 0.077912, 0.434008, 0.500000
8.110921, 0.297916, 0.473182, 0.440000
8.110921, 0.186556, 0.473182, 0.460000
8.110921, 0.360804, 0.473182, 0.520000
3.569134, 0.015753, 0.205365, 0.340000
8.110921, 0.375826, 0.473182, 0.580000
8.110921, 0.380941, 0.473182, 0.460000
8.110514, 0.135670, 0.397314, 0.440000
8.110705, 0.153718, 0.337032, 0.460000
8.110921, 0.252812, 0.473182, 0.420000
8.110921, 0.359967, 0.473182, 0.500000
8.110921, 0.229994, 0.473182, 0.600000
8.110921, 0.219500, 0.473182, 0.460000
7.481812, 0.031308, 0.266037, 0.480000
7.560357, 0.024134, 0.140283, 0.460000
7.481927, 0.178217, 0.266037, 0.520000
7.481927, 0.261908, 0.266037, 0.420000
7.481927, 0.267719, 0.266037, 0.440000
7.481812, 0.030786, 0.266037, 0.400000
7.481927, 0.191722, 0.266037, 0.460000
7.481927, 0.578607, 0.266037, 0.500000
7.960271, 0.081996, 0.434008, 0.420000
7.481927, 0.116640, 0.266037, 0.440000
7.481927, 0.268377, 0.266037, 0.380000
8.110785, 0.108149, 0.434008, 0.520000
7.481927, 0.262666, 0.266037, 0.460000
7.481927, 0.226119, 0.266037, 0.480000
7.481921, 0.133866, 0.266037, 0.440000
7.870800, 0.137135, 0.228854, 0.480000
7.960271, 0.489689, 0.397314, 0.520000
7.481927, 0.342614, 0.266037, 0.480000
7.481927, 0.295922, 0.266037, 0.520000
7.481927, 0.190659, 0.266037, 0.500000
7.481927, 0.255016, 0.266037, 0.400000
7.481927, 0.143100, 0.266037, 0.500000
7.560357, 0.036505, 0.140283, 0.540000
7.481927, 0.273549, 0.266037, 0.480000
7.870800, 0.185775, 0.397314, 0.460000
8.110785, 0.088539, 0.397314, 0.460000
7.481927, 0.259615, 0.266037, 0.420000
7.960271, 0.104730, 0.434008, 0.500000
